Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
22,5.1,3.7,1.5,0.4,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
142,6.9,3.1,5.1,2.3,Iris-virginica
91,5.5,2.6,4.4,1.2,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
120,6.0,2.2,5.0,1.5,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
53,6.9,3.1,4.9,1.5,Iris-versicolor
146,6.7,3.0,5.2,2.3,Iris-virginica
36,5.0,3.2,1.2,0.2,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-virginica
25,4.8,3.4,1.9,0.2,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
8,5.0,3.4,1.5,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
56,5.7,2.8,4.5,1.3,Iris-versicolor
143,5.8,2.7,5.1,1.9,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
39,4.4,3.0,1.3,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
141,6.7,3.1,5.6,2.4,Iris-virginica
40,5.1,3.4,1.5,0.2,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
117,6.5,3.0,5.5,1.8,Iris-virginica
15,5.8,4.0,1.2,0.2,Iris-setosa
82,5.5,2.4,3.7,1.0,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
